1,131328,67240192,67239936
2,65664,33620096,33619968
3,32832,16810048,16809984
4,16416,8405024,8404992
5,8208,4202512,4202496
6,4104,2101256,2101248
7,2052,1050628,1050624
8,1026,525314,525312
9,513,262657,262656
10,256,67240192,67239936
11,128,33620096,33619968
12,64,16810048,16809984
13,32,8405024,8404992
14,16,4202512,4202496
15,8,2101256,2101248
16,4,1050628,1050624
17,2,525314,525312
18,1,262657,262656
19,131072,67240192,67239936
20,65536,33620096,33619968
21,32768,16810048,16809984
22,16384,8405024,8404992
23,8192,4202512,4202496
24,4096,2101256,2101248
25,2048,1050628,1050624
26,1024,525314,525312
27,512,262657,262656
28,131328,131328,67239936
29,65664,65664,33619968
30,32832,32832,16809984
31,16416,16416,8404992
32,8208,8208,4202496
33,4104,4104,2101248
34,2052,2052,1050624
35,1026,1026,525312
36,513,513,262656
37,131328,67109120,67239936
38,65664,33554560,33619968
39,32832,16777280,16809984
40,16416,8388640,8404992
41,8208,4194320,4202496
42,4104,2097160,2101248
43,2052,1048580,1050624
44,1026,524290,525312
45,513,262145,262656
46,131328,67239936,67239936
47,65664,33619968,33619968
48,32832,16809984,16809984
49,16416,8404992,8404992
50,8208,4202496,4202496
51,4104,2101248,2101248
52,2052,1050624,1050624
53,1026,525312,525312
54,513,262656,262656
55,131328,67240192,131072
56,65664,33620096,65536
57,32832,16810048,32768
58,16416,8405024,16384
59,8208,4202512,8192
60,4104,2101256,4096
61,2052,1050628,2048
62,1026,525314,1024
63,513,262657,512
64,131328,67240192,67108864
65,65664,33620096,33554432
66,32832,16810048,16777216
67,16416,8405024,8388608
68,8208,4202512,4194304
69,4104,2101256,2097152
70,2052,1050628,1048576
71,1026,525314,524288
72,513,262657,262144
73,131328,67240192,67239936
74,65664,33620096,33619968
75,32832,16810048,16809984
76,16416,8405024,8404992
77,8208,4202512,4202496
78,4104,2101256,2101248
79,2052,1050628,1050624
80,1026,525314,525312
81,513,262657,262656
